invoice_id,service_category,client_industry,country,project_type,total_amount,total_hours,num_services,discount,tax_rate,documentation_complexity,payment_terms,timestamp
IT-2023000,Mobile Development,Healthcare,UK,Support Contract,3729,33,1,0.0,20.0,Low,Monthly in Advance,2025-02-21 00:04:08.383996
IT-2023001,Data Analytics,Government,UK,Support Contract,31551,246,6,12.08,20.0,High,Monthly in Advance,2025-04-01 00:04:08.383996
IT-2023002,Cloud Services,Government,DE,Retainer,13950,93,1,0.0,19.0,Medium,Net 30,2024-10-20 00:04:08.383996
IT-2023003,Data Analytics,Education,SG,Fixed Price,41293,346,6,10.87,7.0,High,"50% Advance, 50% on Completion",2025-08-20 00:04:08.383996
IT-2023004,System Integration,Education,UK,Support Contract,41279,340,6,13.99,20.0,High,Monthly in Advance,2025-03-26 00:04:08.383996
IT-2023005,Database Management,E-commerce,CA,Time & Materials,35723,275,5,14.14,13.0,High,Net 30,2025-03-21 00:04:08.383996
IT-2023006,Database Management,Manufacturing,AU,Support Contract,9063,67,2,0.0,10.0,Medium,Monthly in Advance,2025-06-01 00:04:08.383996
IT-2023007,System Integration,Education,AU,Fixed Price,29857,236,4,11.84,10.0,High,"50% Advance, 50% on Completion",2024-12-23 00:04:08.383996
IT-2023008,Cloud Services,E-commerce,SG,Support Contract,41148,227,5,9.71,7.0,High,Monthly in Advance,2025-06-07 00:04:08.383996
IT-2023009,AI/ML Solutions,E-commerce,SG,Fixed Price,36594,295,4,12.85,7.0,High,"50% Advance, 50% on Completion",2025-06-04 00:04:08.383996
IT-2023010,Cloud Services,Finance,CA,Retainer,24567,167,3,10.47,13.0,High,Net 30,2025-03-11 00:04:08.383996
IT-2023011,DevOps Services,E-commerce,SG,Fixed Price,12724,119,3,0.0,7.0,Medium,"50% Advance, 50% on Completion",2024-11-15 00:04:08.383996
IT-2023012,Cloud Services,Manufacturing,DE,Fixed Price,49761,356,4,8.9,19.0,High,"50% Advance, 50% on Completion",2025-08-03 00:04:08.383996
IT-2023013,Cloud Services,Education,UK,Support Contract,48915,283,5,10.79,20.0,High,Monthly in Advance,2024-10-26 00:04:08.383996
IT-2023014,Cloud Services,Government,US,Time & Materials,3591,21,1,0.0,8.5,Low,Net 30,2025-08-27 00:04:08.383996
IT-2023015,Network Infrastructure,Manufacturing,DE,Fixed Price,36623,265,5,13.56,19.0,High,"50% Advance, 50% on Completion",2025-08-26 00:04:08.383996
IT-2023016,Cloud Services,Government,US,Time & Materials,12672,72,1,0.0,8.5,Medium,Net 30,2025-06-12 00:04:08.383996
IT-2023017,IT Consulting,Finance,US,Time & Materials,70439,377,6,14.12,8.5,High,Net 30,2025-01-24 00:04:08.383996
IT-2023018,Mobile Development,Finance,US,Retainer,18293,145,4,6.4,8.5,High,Net 30,2024-12-29 00:04:08.383996
IT-2023019,Software Development,Education,DE,Fixed Price,21584,110,3,11.87,19.0,High,"50% Advance, 50% on Completion",2025-01-24 00:04:08.383996
IT-2023020,Cloud Services,Government,US,Time & Materials,33386,223,3,11.6,8.5,High,Net 30,2024-12-21 00:04:08.383996
IT-2023021,AI/ML Solutions,Finance,UK,Fixed Price,6254,59,1,0.0,20.0,Low,"50% Advance, 50% on Completion",2025-07-03 00:04:08.383996
IT-2023022,Cloud Services,Education,CA,Support Contract,19314,108,2,0.0,13.0,High,Monthly in Advance,2025-08-16 00:04:08.383996
IT-2023023,Software Development,Finance,UK,Time & Materials,5746,34,1,0.0,20.0,Low,Net 30,2025-03-18 00:04:08.383996
